CNT,TIME,TIME_TICK,FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LEYEV,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,REYEV,RPUPILD,RPUPILV,CX,CY,CS,LGX,LGY,RGX,RGY,SKLHEADX,SKLHEADY,SKLHEADZ,SKLV,VIEWER_TIME_TICK
285381,24.0156,1.77059E+12,0.522,0.314,23.145,0.871,499,1,0.576,0.305,1,0.538,0.32,1,0.557,0.313,1,1.#IO,1.#IO,18,1.045,1,1.#IO,1.#IO,18,1.02,1,-4.599,-1.447,67.667,1,4.567,1,2.018,-1.025,66.676,1,4.501,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285382,24.03209,1.77059E+12,0.522,0.314,23.145,0.887,499,1,0.564,0.274,1,0.523,0.312,1,0.544,0.293,1,1.#IO,1.#IO,18,1.047,1,1.#IO,1.#IO,17,1.021,1,-4.599,-1.447,67.667,1,4.567,1,2.018,-1.025,66.676,1,4.251,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285383,24.04847,1.77059E+12,0.523,0.314,23.145,0.904,499,1,0.552,0.277,1,0.543,0.314,1,0.548,0.296,1,1.#IO,1.#IO,17,1.051,1,1.#IO,1.#IO,17,1.021,1,-4.599,-1.447,67.667,1,4.314,1,2.018,-1.025,66.676,1,4.251,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285384,24.06496,1.77059E+12,0.523,0.313,23.145,0.92,499,1,0.552,0.284,1,0.543,0.313,1,0.547,0.299,1,1.#IO,1.#IO,17,1.056,1,1.#IO,1.#IO,17,1.021,1,-4.646,-1.464,68.25,1,4.351,1,2.016,-1.03,66.969,1,4.269,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285385,24.08134,1.77059E+12,0.523,0.313,23.145,0.936,499,1,0.556,0.289,1,0.527,0.323,1,0.542,0.306,1,1.#IO,1.#IO,18,1.06,1,1.#IO,1.#IO,18,1.021,1,-4.646,-1.464,68.25,1,4.607,1,2.016,-1.03,66.969,1,4.52,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285386,24.09785,1.77059E+12,0.523,0.313,23.145,0.953,499,1,0.537,0.304,1,0.53,0.328,1,0.534,0.315,1,1.#IO,1.#IO,18,1.061,1,1.#IO,1.#IO,18,1.024,1,-4.646,-1.464,68.25,1,4.607,1,2.016,-1.03,66.969,1,4.52,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285387,24.11419,1.77059E+12,0.523,0.313,23.145,0.969,499,1,0.541,0.303,1,0.53,0.346,1,0.535,0.324,1,1.#IO,1.#IO,18,1.057,1,1.#IO,1.#IO,18,1.025,1,-4.447,-1.398,65.202,1,4.401,1,1.994,-1.022,66.336,1,4.478,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285388,24.13054,1.77059E+12,0,0,23.145,0.986,499,1,0.566,0.251,1,0.516,0.324,1,0.541,0.288,1,1.#IO,1.#IO,18,1.053,1,1.#IO,1.#IO,18,1.026,1,-4.447,-1.398,65.202,1,4.401,1,1.994,-1.022,66.336,1,4.478,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285389,24.14707,1.77059E+12,0,0,23.145,1.002,499,1,0.566,0.267,1,0.519,0.345,1,0.542,0.306,1,1.#IO,1.#IO,18,1.049,1,1.#IO,1.#IO,18,1.026,1,-4.447,-1.398,65.202,1,4.401,1,1.994,-1.022,66.336,1,4.478,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285390,24.16352,1.77059E+12,0,0,23.145,1.019,499,1,0.564,0.271,1,0.516,0.324,1,0.54,0.298,1,1.#IO,1.#IO,18,1.045,1,1.#IO,1.#IO,18,1.027,1,-4.447,-1.401,65.202,1,4.401,1,1.994,-1.022,66.336,1,4.478,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285391,24.17987,1.77059E+12,0,0,23.145,1.035,499,1,0.557,0.31,1,0.522,0.314,1,0.539,0.312,1,1.#IO,1.#IO,18,1.04,1,1.#IO,1.#IO,18,1.027,1,-4.447,-1.401,65.202,1,4.401,1,1.994,-1.022,66.336,1,4.478,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285392,24.19627,1.77059E+12,0,0,23.145,1.051,499,1,0.559,0.308,1,0.527,0.311,1,0.543,0.309,1,1.#IO,1.#IO,17,1.036,1,1.#IO,1.#IO,18,1.029,1,-4.447,-1.401,65.202,1,4.157,1,1.994,-1.022,66.336,1,4.478,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285393,24.21265,1.77059E+12,0,0,23.145,1.068,499,1,0.552,0.306,1,0.525,0.291,1,0.538,0.298,1,1.#IO,1.#IO,17,1.033,1,1.#IO,1.#IO,18,1.031,1,-4.531,-1.424,66.449,1,4.236,1,1.994,-1.018,66.336,1,4.478,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285394,24.22916,1.77059E+12,0,0,23.145,1.084,499,1,0.538,0.298,1,0.528,0.292,1,0.534,0.295,1,1.#IO,1.#IO,17,1.03,1,1.#IO,1.#IO,18,1.033,1,-4.531,-1.424,66.449,1,4.236,1,1.994,-1.018,66.336,1,4.478,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285395,24.24578,1.77059E+12,0,0,23.145,1.101,499,1,0.546,0.297,1,0.523,0.296,1,0.535,0.297,1,1.#IO,1.#IO,17,1.027,1,1.#IO,1.#IO,18,1.034,1,-4.531,-1.424,66.449,1,4.236,1,1.994,-1.018,66.336,1,4.478,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285396,24.26213,1.77059E+12,0,0,23.145,1.117,499,1,0.541,0.293,1,0.534,0.298,1,0.538,0.296,1,1.#IO,1.#IO,17,1.026,1,1.#IO,1.#IO,17,1.036,1,-4.531,-1.424,66.603,1,4.246,1,2.029,-1.033,67.325,1,4.292,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285397,24.27842,1.77059E+12,0,0,23.145,1.133,499,1,0.557,0.328,1,0.545,0.285,1,0.551,0.307,1,1.#IO,1.#IO,18,1.025,1,1.#IO,1.#IO,17,1.039,1,-4.531,-1.424,66.603,1,4.496,1,2.029,-1.033,67.325,1,4.292,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285398,24.29485,1.77059E+12,0,0,23.145,1.15,499,1,0.559,0.33,1,0.559,0.263,1,0.559,0.297,1,1.#IO,1.#IO,18,1.025,1,1.#IO,1.#IO,18,1.04,1,-4.531,-1.424,66.603,1,4.496,1,2.029,-1.033,67.325,1,4.544,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285399,24.3113,1.77059E+12,0,0,23.145,1.166,499,1,0.563,0.313,1,0.555,0.277,1,0.559,0.296,1,1.#IO,1.#IO,17,1.027,1,1.#IO,1.#IO,18,1.039,1,-4.572,-1.437,67.301,1,4.29,1,2.002,-1.01,65.905,1,4.449,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285400,24.32785,1.77059E+12,0.529,0.311,23.145,1.183,499,1,0.559,0.324,1,0.557,0.29,1,0.558,0.308,1,1.#IO,1.#IO,18,1.027,1,1.#IO,1.#IO,17,1.037,1,-4.559,-1.433,67.137,1,4.532,1,2.002,-1.01,65.905,1,4.201,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
285401,24.3442,1.77059E+12,0.53,0.311,23.145,1.199,499,1,0.576,0.339,1,0.549,0.304,1,0.563,0.321,1,1.#IO,1.#IO,18,1.026,1,1.#IO,1.#IO,17,1.035,1,-4.559,-1.433,67.137,1,4.532,1,2.002,-1.01,65.905,1,4.201,1,1.709,0.929,0,1.#IO,1.#IO,1.#IO,1.#IO,0,0,0,0,1.77059E+12
