BLOCK	PLOT	SPECIES	DBH
5	91	SG	14
5	91	LP	23
5	91	LP	17
5	91	LP	18
5	91	LP	19
5	91	LP	18
5	91	LP	19
5	91	LP	17
5	91	RM	7
5	91	SG	8
5	91	SG	6
5	91	LP	24
5	76	LP	16
5	76	LP	14
5	76	LP	11
5	76	LP	10
5	76	LP	19
5	76	LP	14
5	76	LP	13
5	76	LP	13
5	76	RO	8
5	76	SL	11
5	76	WO	14
5	76	LP	16
5	76	LP	15
5	76	LP	13
5	75	LP	15
5	75	LP	9
5	75	LP	14
5	75	LP	13
5	75	LP	11
5	75	LP	15
5	75	LP	12
5	75	RM	11
5	75	YP	17
5	75	LP	11
5	75	LP	11
5	75	WO	9
5	75	WO	14
5	74	LP	15
5	74	LP	18
5	74	LP	16
5	74	LP	17
5	74	LP	10
5	74	SG	6
5	74	SG	6
5	74	SG	7
5	74	SG	9
5	74	LP	16
5	74	LP	18
5	74	LP	13
5	74	RM	14
5	74	RO	16
5	74	LP	6
5	74	LP	6
5	74	LP	15
5	73	RO	22
5	73	WO	19
5	73	WO	16
5	73	WO	18
5	73	RO	14
5	73	SG	15
5	72	LP	16
5	72	SG	5
5	72	SG	6
5	72	RM	3
5	72	LP	7
5	72	RM	6
5	72	LP	14
5	72	LP	18
5	72	LP	11
5	72	LP	15
5	72	LP	15
5	72	LP	19
5	72	YP	12
5	72	LP	10
5	72	LP	12
5	72	SW	5
5	71	LP	14
5	71	LP	18
5	71	RO	22
5	71	LP	14
5	71	LP	15
5	71	LP	16
5	71	SW	9
5	71	SW	6
5	71	LP	15
5	71	LP	14
5	71	LP	12
5	71	LP	14
5	71	LP	15
5	71	SG	5
5	71	SL	13
5	71	LP	14
5	71	LP	16
5	71	SG	7
5	71	RM	4
5	70	LP 	18
5	70	LP	16
5	70	LP	10
5	70	RO	10
5	70	SG	11
5	70	WO	16
5	70	RO	6
5	70	LP	19
5	70	RO	6
5	70	LP	20
5	70	LP	10
5	70	LP	10
5	70	LP	18
5	70	LP	10
5	70	LP	13
5	70	SRW	5
5	70	SG	3
5	69	WO	10
5	69	LP	16
5	69	LP	19
5	69	WO	12
5	69	LP	14
5	69	LP	12
5	69	LP	10
5	69	WO	9
5	69	LP	17
5	69	LP	13
5	69	LP	14
5	69	LP	16
5	69	LP	14
5	69	SG	6
5	69	RM	9
5	68	SL	15
5	68	RO	13
5	68	WO	9
5	68	SL	15
5	68	RO	18
5	68	LP	10
5	68	LP	11
5	68	RO	12
5	68	WO	14
5	68	WO	13
5	68	WO	13
5	68	WO	4
5	68	RO	12
5	68	RO	16
5	67	LP	12
5	67	LP	12
5	67	LP	10
5	67	LP	16
5	67	WO 	14
5	67	SG	16
5	67	LP	20
5	67	RM	10
5	67	RM	11
5	67	LP	19
5	67	LP	11
5	67	LP	18
5	67	LP	17
5	67	LP	16
5	67	LP	10
5	67	LP	15
5	67	LP	11
5	67	LP	19
5	67	LP	11
5	67	LP	11
5	67	WO	5
5	66	LP	12
5	66	LP	17
5	66	LP	14
5	66	LP	16
5	66	LP	9
5	66	LP	10
5	66	LP	9
5	66	SG	7
5	66	RM	10
5	66	LP	12
5	66	LP	19
5	66	LP	16
5	66	LP	18
5	66	LP	16
5	66	LP	14
5	66	RM	10
5	66	SG	8
5	65	RM	11
5	65	WO	6
5	65	YP	16
5	65	LP	10
5	65	LP	7
5	65	LP	7
5	65	LP	18
5	65	LP	15
5	65	LP	11
5	65	SG	9
5	65	LP	21
5	65	LP	16
5	65	LP	13
5	64	LP	20
5	64	LP	18
5	64	RM	8
5	64	LP	16
5	64	RM	6
5	64	RO	15
5	64	LP	16
5	64	LP	18
5	64	LP	16
5	64	LP	15
5	64	LP	15
5	64	LP	15
5	64	SG	4
5	64	RM	5
5	64	RM	7
5	64	LP	19
